"ID";"a1.trabajo";"a2.contrato";"a3.empleador";"a4.areatrabajo";"a5.precovid";"a6.motivo";"a7.busca";"a8.modalidad";"a9.carga";"a10.situacion";"a11.desempeño";"b1.estudio";"b2.material";"b2.dejar";"b2.adapta";"b2.internet";"b2.institucion";"b2.profes";"b2.compu";"c1.barrer";"c1.basura";"c1.cocinar";"c1.adultos";"c1.mascotas";"c1.niñxs";"c1.loza";"c1.ropa";"c1.baños";"c1.ordenar";"c1.compras";"c2.internet";"c2.patio";"c2.nhabs";"c2.equipos";"c2.thabs";"c2.ubicacion";"c3.npersonas";"c4.habitantes";"c4.abuelxs";"c4.amigxs";"c4.arrendatarixs";"c4.pareja";"c4.hermanxs";"c4.padres";"c4.hijxs";"c4.otrxs";"c5.aumento";"c5.mujeres";"c5.gusta";"c5.apoyo";"c5.tiempo";"c5.unicx";"c6.nhijxs";"c7.recreacion";"c7.union";"c7.tiempo";"c7.comunicacion";"c7.confianza";"c7.preocupacion";"c7.conflictos";"d1.angustia";"d1.ansiedad";"d1.estres";"d1.frustracion";"d1.incertidumbre";"d1.enojo";"d1.miedo";"d1.soledad";"d1.tristeza";"d2.atencion";"d3.farmacos";"d4.tratamiento";"e1.pareja";"e2.cambio";"e3.enojos";"e3.lesionarme";"e3.golpes";"e3.gritos";"e3.terceros";"e3.humilla";"e3.insulta";"e3.respeto";"e3.peligro";"e4.conversa";"e5.denuncia1";"e6.institucion";"e6.carchi";"e7.violencia";"e8.denuncia2";"f1.moviliza";"f1.gobierno";"f1.justicia";"f1.ddhh";"f1.migra";"f1.policias";"f1.apoyos";"f1.expulsion";"f1.pensiones";"f1.apruebo";"sexo";"edad";"comunares";"paisnac";"regionnac";"estudios";"ingresos";"cambioingreso";"bonos";"bonos.caja";"bonos.ife";"bonos.minimo";"bonos.covid";"bonos.media";"bonos.none";"salir"
"181";"Trabajo dependiente";"Contrato indefinido";"Privada";"Minería";"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente presencial";"Ha aumentado levemente";"Buena";"Absolutamente de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"6-10 horas";"21 o más horas";"21 o más horas";"0 horas";"1-2 horas";"3-5 horas";"3-5 horas";"3-5 horas";"3-5 horas";"Excelente";"Malo";"Regular";"Bueno";"Regular";"Bueno";"4";"Hermano(s) y/o hermana(s);Padre y/o madre;Abuelo(s) y/o abuela(s)";1;0;0;0;1;1;0;0;"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"0";"Disminuyó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Siempre";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Casi nunca";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Mujer";26;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria completa";"$450.000 - $750.000";"Han disminuido levemente";"Caja familiar (mercadería)";1;0;0;0;0;0;2
"182";"Trabajo dependiente";"Contrato indefinido";"Privada";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Mayormente con teletrabajo";"Ha aumentado considerablemente";"Muy buena";"Muy de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"21 o más horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"0 horas";"Bueno";"Malo";"Regular";"Bueno";"Regular";"Bueno";"1";"Cónyuge, pareja o conviviente";0;0;0;1;0;0;0;0;"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"0";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"Casi nunca";"Frecuentemente";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Mujer";32;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria completa";"$750.000 - $1.500.000";"Se han mantenido igual";"Caja familiar (mercadería)";1;0;0;0;0;0;1
"183";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo independiente o por cuenta propia";"Despido";"Si";NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"3-5 horas";"0 horas";"1-2 horas";"0 horas";"3-5 horas";"6-10 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"6-10 horas";"Regular";"Regular";"Bueno";"Bueno";"Bueno";"Bueno";"3";"Padre y/o madre";0;0;0;0;0;1;0;0;"Muy de acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"0";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Aumentó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Mujer";22;"Iquique";"Chile";"Tarapaca";"Universitaria completa";"Menos de $150.000";"Han disminuido fuertemente";"Ingreso familiar de emergencia;Caja familiar (mercadería)";1;1;0;0;0;0;2
"184";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"3-5 horas";"0 horas";"1-2 horas";"3-5 horas";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"3-5 horas";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"4";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s);Nieta";0;0;0;1;0;0;1;1;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"2";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"A veces";"A veces";"Casi nunca";"Nunca";"A veces";"A veces";"A veces";"Nunca";"A veces";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Matrimonio";"Se ha mantenido igual";"Casi nunca";"Nunca";"Nunca";"A veces";"Nunca";"Casi nunca";"Nunca";"Frecuentemente";"Nunca";"Sí";"No";NA;0;"No";NA;"De acuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Mujer";55;"Iquique";"Chile";"Bio Bio";"Técnica completa";"$150.000 - $300.000";"Han disminuido fuertemente";"Caja familiar (mercadería)";1;0;0;0;0;0;2
"185";"Trabajo dependiente";"Contrato indefinido";NA;NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado levemente";"Buena";"Muy de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"11-20 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"Bueno";"Regular";"Bueno";"Bueno";"Bueno";"Regular";"1";"Cónyuge, pareja o conviviente";0;0;0;1;0;0;0;0;"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"0";"Disminuyó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Casi nunca";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"Nunca";"Nunca";"A veces";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";28;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria completa";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"186";"Empresa o negocio (individual o familiar)";"Contrato a honorarios";"Privada";NA;"Empresa o negocio (individual o familiar)";"Término del trabajo o servicio que originó el contrato";"No";NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"0 horas";"1-2 horas";"1-2 horas";"0 horas";"1-2 horas";"0 horas";"Excelente";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"2";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"En desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"0";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Disminuyó";"A veces";"Casi nunca";"A veces";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado levemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";20;"Pozo Almonte";"Chile";"Tarapaca";"Media completa";"Menos de $150.000";"Se han mantenido igual";"Ingreso mínimo garantizado";0;0;1;0;0;0;2
"187";"Trabajo dependiente";"Contrato indefinido";"Privada";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado levemente";"Buena";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"6-10 horas";"6-10 horas";"11-20 horas";"6-10 horas";"11-20 horas";"6-10 horas";"11-20 horas";"6-10 horas";"6-10 horas";"6-10 horas";"6-10 horas";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"Regular";"3";"Padre y/o madre;Tio";0;0;0;0;0;1;0;1;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"0";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Disminuyó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Casi nunca";"Frecuentemente";"Nunca";"Frecuentemente";"Nunca";"Frecuentemente";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"De acuerdo";"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Mujer";36;"Iquique";"Chile";"Magallanes";"Postgrado";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"188";"Trabajo dependiente";"Contrato indefinido";"Privada";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Mayormente con teletrabajo";"Ha disminuido levemente";"Muy buena";"Muy de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"6-10 horas";"3-5 horas";"21 o más horas";"0 horas";"21 o más horas";"21 o más horas";"1-2 horas";"0 horas";"6-10 horas";"11-20 horas";"21 o más horas";"Excelente";"Excelente";"Excelente";"Excelente";"Excelente";"Excelente";"2";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"1";"Disminuyó";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Convivente Civil";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Casi nunca";"Nunca";"Nunca";"Nunca";"Casi siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";31;"Pozo Almonte";"Chile";"Tarapaca";"Postgrado";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"189";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo dependiente";"Despido";"No";NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"3-5 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"1-2 horas";"Excelente";"Bueno";"Bueno";"Bueno";"Bueno";"Excelente";"1";"Cónyuge, pareja o conviviente";0;0;0;1;0;0;0;0;"Muy de acuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"0";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"A veces";"A veces";"Frecuentemente";"Casi nunca";"A veces";"Casi nunca";"Frecuentemente";"A veces";"A veces";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Convivente Civil";"Ha mejorado levemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Casi siempre";"Nunca";"No";"No";NA;0;"No";NA;"Muy de acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Mujer";33;"Alto Hospicio";"Chile";"Bio Bio";"Universitaria completa";"$300.000 - $450.000";"Han disminuido levemente";"Caja familiar (mercadería)";1;0;0;0;0;0;1
"190";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"0 horas";"3-5 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"Regular";"Malo";"Malo";"Malo";"Malo";"Regular";"1";"Hijo(s) y/o hija(s)";0;0;0;0;0;0;1;0;"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"4";"Disminuyó";"Disminuyó";"Disminuyó";"Disminuyó";"Se mantuvo igual";"Aumentó";"Disminuyó";"Nunca";"Casi nunca";"Nunca";"A veces";"Casi nunca";"A veces";"Nunca";"A veces";"A veces";"No";"No";"Si, con total normalidad";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"No";NA;"Absolutamente en desacuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"Hombre";61;"Alto Hospicio";"Chile";"Tarapaca";"Básica completa";"Menos de $150.000";"Han disminuido fuertemente";"Ingreso familiar de emergencia";0;1;0;0;0;0;4
"191";"Trabajo dependiente";"Contrato plazo fijo";"Privada";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado considerablemente";"Muy buena";"De acuerdo";"Postgrado";"Muy de acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"1-2 horas";"1-2 horas";"3-5 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"Bueno";"Malo";"Bueno";"Bueno";"Bueno";"Bueno";"2";"Cónyuge, pareja o conviviente";0;0;0;1;0;0;0;0;"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"0";"Disminuyó";"Aumentó";"Disminuyó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Frecuentemente";"Frecuentemente";"Siempre";"Casi nunca";"Frecuentemente";"Casi nunca";"A veces";"A veces";"A veces";"Sí";"Sí";"Si, con total normalidad";"Otra relación afectiva";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Absolutamente de acuerdo";"En desacuerdo";"Absolutamente de acuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";28;"Iquique";"Chile";"Maule";"Postgrado";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"192";"Trabajo dependiente";"Contrato plazo fijo";"Privada";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado considerablemente";"Buena";"Muy de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"11-20 horas";"1-2 horas";"6-10 horas";"0 horas";"0 horas";"21 o más horas";"6-10 horas";"3-5 horas";"3-5 horas";"11-20 horas";"6-10 horas";"Regular";"Malo";"Excelente";"Bueno";"Excelente";"Bueno";"5 o más";"Hijo(s) y/o hija(s);Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;1;0;"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"1";"Se mantuvo igual";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Disminuyó";"A veces";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"Casi nunca";"A veces";"Nunca";"A veces";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Muy de acuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";32;"Iquique";"Chile";"Tarapaca";"Universitaria completa";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"193";"Trabajo dependiente";"Contrato plazo fijo";"Estatal";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado considerablemente";"Buena";"En desacuerdo";"Otra";"De acuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"3-5 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"Regular";"Bueno";"Regular";"Bueno";"Bueno";"Bueno";"5 o más";"Hermano(s) y/o hermana(s);Padre y/o madre;Abuelo(s) y/o abuela(s)";1;0;0;0;1;1;0;0;"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"Muy en desacuerdo";"0";"Aumentó";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"Casi nunca";"A veces";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado levemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";30;"Huara";"Chile";"Tarapaca";"Universitaria completa";"$450.000 - $750.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"194";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo independiente o por cuenta propia";"No he perdido mi fuente laboral";NA;"Completamente presencial";"Ha disminuido considerablemente";"Mala";"Absolutamente de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"0 horas";"3-5 horas";"0 horas";"1-2 horas";"0 horas";"3-5 horas";"1-2 horas";"0 horas";"3-5 horas";"1-2 horas";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"4";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"0";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"A veces";"A veces";"Casi nunca";"Nunca";"A veces";"A veces";"Nunca";"Casi nunca";"Casi nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Casi siempre";"Nunca";"No";"No";NA;0;"Sí";"No";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";22;"Iquique";"Chile";"Tarapaca";"Media completa";"No tuve ingresos";"Han disminuido fuertemente";NA;0;0;0;0;0;1;2
"195";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"0 horas";"0 horas";"0 horas";"0 horas";"3-5 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"Regular";"Malo";"Regular";"Excelente";"Malo";"Bueno";"3";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"0";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Disminuyó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"A veces";"Frecuentemente";"Frecuentemente";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Otra relación afectiva";"Ha empeorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Mujer";23;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Han disminuido fuertemente";NA;0;0;0;0;0;1;1
